13,1005,20,1003,0,1023,9,10,7
16,966,13,1005,0,1023,6,7,5
13,1005,29,989,20,1003,19,18,11
29,989,13,1005,16,966,25,24,15
131,1003,140,996,152,993,21,57,41
124,976,140,996,120,987,30,41,25
140,996,159,982,152,993,23,53,36
140,996,124,976,159,982,47,65,40
103,1007,95,994,120,987,14,31,23
103,1007,131,1003,103,1020,43,76,62
270,951,279,921,315,935,116,92,49
248,927,279,921,270,951,120,94,39
214,950,188,1001,159,982,66,76,50
159,982,188,1001,152,993,18,53,39
131,1003,188,1001,218,1023,41,48,45
188,1001,131,1003,152,993,8,29,18
208,997,266,973,218,1023,102,105,107
208,997,214,950,266,973,82,97,98
188,1001,208,997,218,1023,86,88,88
208,997,188,1001,214,950,36,51,42
232,931,214,950,219,930,127,99,33
232,931,219,930,199,907,134,102,11
248,927,232,931,199,907,133,100,14
232,931,248,927,270,951,120,94,36
266,973,232,931,270,951,107,97,72
214,950,232,931,266,973,121,112,88
9,817,7,838,2,849,7,10,5
7,838,50,876,2,849,13,23,13
7,838,9,817,83,841,18,32,15
50,876,7,838,83,841,39,42,13
69,925,65,938,49,925,27,26,10
103,897,69,925,84,887,12,24,14
90,936,142,945,122,962,68,70,20
103,897,142,945,90,936,45,55,20
142,945,103,897,155,912,85,76,13
142,945,124,976,122,962,59,62,21
124,976,142,945,159,982,93,82,29
351,944,383,975,355,973,57,94,93
351,944,376,923,383,975,71,90,99
351,944,355,973,315,935,97,92,85
324,924,351,944,315,935,108,87,57
439,970,402,904,457,939,91,112,112
376,923,402,904,439,970,64,85,88
457,939,402,904,448,906,55,83,76
402,878,402,904,386,874,126,110,67
16,635,48,632,4,684,18,36,20
48,632,67,695,4,684,38,44,13
48,632,52,625,60,629,6,25,14
48,632,60,629,82,673,68,64,8
67,695,48,632,82,673,63,62,10
33,743,57,789,9,817,24,39,18
9,817,57,789,83,841,22,28,11
176,779,164,739,200,728,150,114,2
263,840,227,849,223,820,179,131,2
263,840,295,789,304,833,181,133,0
