900,1011,924,997,1011,1023,107,104,99
599,607,636,719,511,706,191,131,62
552,341,502,344,520,313,255,255,255
735,188,716,254,590,208,213,154,85
716,254,629,307,590,208,255,255,255
994,469,1010,466,1023,513,255,255,255
992,292,1023,322,972,387,0,0,0
1023,322,992,292,1001,288,0,0,0
1023,223,1023,322,1001,288,0,0,0
720,325,731,320,727,327,0,0,0
791,364,731,320,748,298,147,144,139
731,320,791,364,727,327,0,0,0
634,393,695,402,647,438,255,255,255
684,533,605,494,647,438,0,0,0
566,410,605,494,509,532,0,0,0
605,494,599,607,509,532,255,255,255
605,494,684,533,599,607,255,255,255
715,533,684,533,721,426,0,0,0
880,626,828,540,929,547,0,0,0
791,630,828,540,880,626,255,255,255
828,540,936,526,929,547,255,255,255
936,526,828,540,832,450,50,70,57
792,500,715,533,721,426,0,0,0
995,591,1023,521,1023,642,0,15,2
987,622,995,591,1023,642,0,0,0
1005,699,1023,676,1023,758,0,0,0
464,471,418,423,459,397,21,18,12
418,423,464,471,400,486,0,0,0
489,382,472,398,459,397,255,255,255
502,344,489,382,459,397,255,255,255
490,303,513,271,520,313,0,0,0
513,271,490,303,411,291,11,3,0
411,291,490,307,459,397,37,34,29
490,307,502,344,459,397,0,0,0
490,303,490,307,411,291,0,0,0
502,344,490,307,520,313,0,0,0
490,307,490,303,520,313,0,0,0
1002,0,921,21,793,18,255,255,165
706,0,1002,0,793,18,239,189,84
1023,101,1002,0,1023,0,255,255,255
921,21,1002,0,1023,101,255,255,255
810,267,903,211,901,304,255,224,155
716,254,810,267,748,298,255,255,192
810,267,716,254,735,188,92,84,80
4,701,16,695,11,744,152,171,159
16,695,4,701,3,690,0,0,0
0,820,4,701,11,744,255,255,255
0,680,4,675,3,690,255,255,255
0,680,4,701,0,820,255,255,255
4,701,0,680,3,690,255,255,255
195,722,200,723,202,794,21,0,0
56,776,74,794,0,820,255,255,255
74,794,41,862,0,820,14,33,21
41,862,74,794,86,825,220,239,227
1,541,30,585,0,631,115,134,122
33,667,114,611,47,684,0,9,0
114,611,48,685,47,684,0,0,0
48,685,114,611,94,714,255,255,255
94,714,114,611,111,716,168,118,14
368,908,283,908,324,828,193,143,39
415,927,454,988,415,1005,255,255,255
401,927,415,927,394,933,0,0,0
454,988,415,927,476,931,255,255,255
464,911,415,927,420,915,255,255,255
415,927,464,911,476,931,255,255,255
976,729,1005,699,1023,758,0,0,0
1005,699,976,729,949,660,255,255,255
525,82,516,211,384,119,255,236,167
516,211,525,82,590,208,255,255,254
516,211,513,271,411,291,255,255,255
118,81,115,190,0,123,255,204,135
115,190,106,204,0,123,83,23,0
106,204,115,190,121,232,0,0,0
266,211,268,215,244,229,85,95,78
268,215,266,211,304,216,255,255,255
268,215,304,216,310,281,0,0,0
244,229,268,215,283,297,59,69,52
268,215,310,281,283,297,255,255,255
14,512,9,535,0,506,255,255,255
31,477,14,512,0,506,255,255,255
256,509,194,486,252,453,151,161,144
194,486,256,509,257,557,0,0,0
229,584,194,486,257,557,0,0,0
284,586,229,584,257,557,255,255,255
51,1005,112,1023,0,1023,106,125,112
51,1005,77,1005,112,1023,255,255,255
77,1005,51,1005,69,999,0,0,0
175,1002,209,995,223,1022,255,255,255
283,908,282,961,201,912,200,150,46
282,961,211,979,201,912,101,110,93
718,1014,720,1015,667,1014,0,0,0
757,991,752,1006,737,1007,0,0,0
728,1014,752,1006,817,1023,183,203,190
752,1006,728,1014,737,1007,255,255,255
752,1006,800,983,817,1023,0,0,0
800,983,752,1006,757,991,0,0,0
724,915,771,936,724,931,18,28,11
805,896,771,936,724,915,255,255,255
807,936,771,936,805,896,0,0,0
900,1011,863,1008,896,977,255,255,255
863,1008,900,1011,817,1023,255,255,255
401,832,324,828,392,738,94,44,0
423,801,401,832,392,738,70,20,0
401,832,368,908,324,828,204,154,49
475,826,436,851,423,801,0,0,0
436,851,401,832,423,801,34,0,0
401,832,436,851,424,860,172,122,17
530,896,515,868,521,849,67,76,59
512,881,515,868,530,896,0,0,0
1010,928,1016,912,1023,942,0,0,0
1010,928,1023,942,964,982,0,0,0
992,918,1010,928,964,982,0,0,0
988,878,965,864,965,863,0,0,0
988,878,1007,905,992,918,255,255,255
1007,905,1010,928,992,918,0,0,0
1010,928,1007,905,1016,912,0,0,0
1016,912,1007,905,1023,871,0,0,0
1007,905,988,878,1023,871,255,255,255
912,997,924,997,900,1011,255,255,255
972,838,988,878,965,863,0,0,0
988,878,972,838,1023,871,0,0,0
887,790,915,825,836,822,255,255,255
954,907,988,878,992,918,255,255,255
686,703,636,719,599,607,0,0,0
629,307,612,307,590,208,162,103,34
716,254,698,308,629,307,0,0,0
913,624,880,626,929,547,0,0,0
942,612,913,624,929,547,227,237,220
913,624,942,612,949,660,255,255,255
1010,466,1023,444,1023,513,0,0,0
1023,444,1010,466,1002,458,0,0,0
968,427,925,430,972,387,0,0,0
817,356,866,387,818,400,255,255,255
838,317,810,267,901,304,0,0,0
863,425,866,387,925,430,0,0,0
936,526,863,425,925,430,0,0,0
863,425,936,526,832,450,0,0,0
866,387,863,425,818,400,0,0,0
992,292,913,319,901,304,0,0,0
925,430,920,365,972,387,0,0,0
866,387,920,365,925,430,0,0,0
920,365,992,292,972,387,0,0,0
920,365,913,319,992,292,255,255,255
1010,466,997,466,1002,458,0,0,0
994,469,997,466,1010,466,255,255,255
1019,381,1023,322,1023,403,255,255,255
1023,322,1019,381,972,387,0,0,0
791,364,735,384,727,327,0,0,0
735,384,720,325,727,327,0,0,0
936,526,970,553,929,547,255,255,255
970,553,942,612,929,547,0,0,0
942,612,970,553,995,591,0,0,0
970,553,1023,521,995,591,0,0,0
1023,521,970,553,1023,513,88,107,95
970,553,994,469,1023,513,0,5,0
970,553,936,526,994,469,0,0,0
814,460,792,500,721,426,0,0,0
828,540,814,460,832,450,0,0,0
792,500,814,460,828,540,108,127,114
721,536,792,500,760,539,255,255,255
792,500,721,536,715,533,255,255,255
709,620,721,536,760,539,0,0,0
684,533,721,536,709,620,249,255,241
715,533,721,536,684,533,255,255,255
792,500,784,541,760,539,255,255,255
784,541,792,500,828,540,255,255,255
760,539,784,541,783,628,0,0,0
784,541,791,630,783,628,255,255,255
784,541,828,540,791,630,33,43,26
942,612,967,636,949,660,0,0,0
967,636,1005,699,949,660,0,0,0
967,636,1023,676,1005,699,255,255,255
1023,676,967,636,1023,642,61,81,68
976,621,942,612,995,591,86,105,93
987,622,976,621,995,591,0,0,0
976,621,967,636,942,612,0,0,0
342,422,418,423,400,486,255,255,255
320,426,342,422,400,486,255,255,255
342,422,320,426,337,404,255,255,255
418,423,419,420,459,397,255,255,255
419,420,342,422,337,404,255,255,255
342,422,419,420,418,423,255,255,255
310,281,280,314,283,297,0,0,0
281,324,280,314,310,281,0,0,0
320,426,305,395,337,404,255,255,255
305,395,308,365,337,404,0,0,0
810,267,835,208,903,211,0,0,0
835,208,793,124,914,97,114,54,0
903,211,835,208,914,97,255,255,221
793,124,835,208,735,188,0,0,0
835,208,810,267,735,188,255,255,255
0,680,0,647,4,675,255,255,255
33,667,0,647,0,631,101,120,107
0,647,33,667,4,675,255,255,255
209,723,200,723,209,722,0,0,0
200,723,209,723,202,794,0,0,0
209,723,209,722,224,725,0,0,0
202,794,209,723,224,725,168,118,13
41,862,31,893,0,906,255,255,255
82,796,124,797,86,825,255,255,255
74,794,82,796,86,825,0,0,0
30,585,49,598,0,631,255,255,255
49,598,33,667,0,631,0,0,0
49,598,114,611,33,667,94,104,87
42,574,49,598,30,585,255,255,255
49,598,81,585,114,611,255,255,255
121,605,114,611,90,582,255,255,255
374,1007,415,1005,351,1023,0,0,0
392,994,415,927,415,1005,255,255,255
415,927,392,994,394,933,0,0,0
374,1007,392,994,415,1005,255,255,255
345,1007,321,1023,283,993,255,255,255
282,961,345,1007,283,993,0,0,0
771,936,802,961,800,968,29,48,36
802,961,771,936,807,936,0,0,0
800,835,798,812,836,822,0,0,0
798,812,758,780,779,774,0,0,0
798,812,800,835,739,822,255,255,255
758,780,798,812,739,822,80,89,72
926,730,895,654,949,660,255,255,255
516,211,383,217,384,119,255,255,245
383,217,516,211,411,291,181,121,52
384,119,383,217,308,123,255,251,182
201,118,186,174,118,81,255,255,199
186,174,115,190,118,81,255,255,255
186,174,266,211,244,229,0,0,0
266,211,186,174,201,118,38,0,0
0,320,11,333,5,387,124,144,131
11,333,18,347,5,387,0,0,0
18,347,20,366,5,387,255,255,255
20,366,18,347,50,361,72,82,65
186,391,238,427,194,486,0,0,0
117,533,98,407,194,486,0,7,0
98,407,186,391,194,486,214,223,206
186,391,98,407,190,368,53,63,46
281,515,320,426,400,486,56,66,49
320,426,281,515,252,453,146,156,139
229,584,135,560,194,486,255,255,255
135,560,117,533,194,486,0,2,0
213,699,289,735,224,725,0,0,0
194,486,240,432,252,453,0,0,0
238,427,240,432,194,486,255,255,255
231,315,274,324,224,343,133,142,125
183,310,224,343,190,368,0,0,0
115,319,0,299,121,232,41,60,48
144,284,115,319,121,232,47,56,39
50,361,115,319,81,369,108,128,115
183,310,115,319,144,284,134,144,126
115,319,183,310,190,368,255,255,255
115,319,98,407,81,369,52,71,59
98,407,115,319,190,368,136,155,143
31,999,51,1005,0,1023,246,255,253
0,1009,31,999,0,1023,255,255,255
31,999,0,1009,32,996,0,9,0
69,999,62,993,96,919,0,0,0
51,1005,62,993,69,999,0,0,0
43,990,62,993,51,1005,255,255,255
195,987,209,995,175,1002,0,0,0
209,995,195,987,211,979,153,173,160
144,991,195,987,175,1002,0,0,0
211,979,195,987,201,912,0,0,0
195,987,144,991,201,912,0,0,0
260,1020,226,988,283,993,255,255,255
226,988,260,1020,223,1022,0,0,0
209,995,226,988,223,1022,255,255,255
226,988,282,961,283,993,0,0,0
368,908,354,947,283,908,158,167,150
354,947,282,961,283,908,169,178,161
354,947,345,1007,282,961,0,0,0
392,994,354,947,394,933,255,255,255
354,947,392,994,366,999,0,0,0
602,944,613,921,648,952,0,0,0
